District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Tuen Mun,5 Sam Shing Street (non-residential),14/2/2020,63,1
Eastern ,"Block D, Mount Parker Lodge, 10 Hong Pak Path",14/2/2020," 52, 61",2
Kwun Tong,Hiu Lai Court Shopping Centre (Non residential building),14/2/2020,67,1
Wan Chai,The Hong Kong Jockey Club Happy Valley Clubhouse (Non residential building),14/2/2020,85,1
Tuen Mun,"Block 1, Seaview Garden",15/2/2020,63,1
Sham Shui Po,Cheung Sha Wan Jockey Club Clinic(non-residential),15/2/2020,58,1
Eastern,"Ming Kung Mansion, Taikoo Shing, 22 Taikoo Shing Road",15/2/2020,57,1
Eastern,"Yuan Kung Mansion, Tai Koo Shing(non-residential)",15/2/2020,57,1
Sham Shui Po,298D Un Chau Street(non-residential),16/2/2020,58,1
Wan Chai,"35-45, Johnston Road  (Non residential building)",16/2/2020,85,1
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street",16/2/2020," 73, 74, 76, 77, 83",5
Eastern,"Ming Kung Mansion, Taikoo Shing, 22 Taikoo Shing Road",16/2/2020," 57, 60",2
Wong Tai Sin,"Oi Wah House, Tsz Oi Court, Tsz Wan Shan",16/2/2020,59,1
Sai Kung,Yee Ching House Yee Ming Estate,16/2/2020,58,1
Kwun Tong,"Cambridge Building, 25-41 Hong Ning Road",17/2/2020,62,1
Tai Po,"Fortune Plaza Arcade, 4 On Chee Road(non-residential)",17/2/2020,68,1
Wan Chai ,World Trade Centre  (Non-residential),17/2/2020,85,1
Central and Western,271-285 Des Voeux Road West(non-residential),18/2/2020,69,1
Wan Chai,310 Gloucester Road (Non-residential),18/2/2020,85,1
Tuen Mun,5 Sam Shing Street(non-residential),18/2/2020," 63, 66",2
Tuen Mun,"Block 1, Seaview Garden",18/2/2020," 63, 66",2
Eastern,"Coronet Court, 1-9A North Point Road(non-residential)",18/2/2020," 64, 65",2
Eastern,"Sui Moon House, Siu Sai Wan Estate",18/2/2020," 64, 65",2
Eastern,Cheong Yuen Building (non-residential),19/2/2020,74,1
Wan Chai,Hang Wai Commercial Building (non-residential),19/2/2020,85,1
Kwun Tong,"Hiu Fai House, Hiu Lai Court",19/2/2020,67,1
Kwun Tong,Kwun Tong Community Health Centre(non-residential),19/2/2020,69,1
Central and Western ,Man Mo Temple (non-residential),19/2/2020,85,1
Yuen Long,"Shek Wu Wai, San Tin",19/2/2020,68,1
Central and Western,Yardley Commercial Building B23 (Non residential building),19/2/2020,85,1
Kwun Tong ,Kwong Tin Shopping Centre (non-residential),20/2/2020,72,1
Yau Tsim Mong ,Mong Kok East station (non-residential),20/2/2020,82,1
Kwun Tong,"Yun Mei House, Yau Mei Court",20/2/2020,69,1
Wan Chai ,6 Cheong Ming Street (non-residential),22/2/2020,85,1
Yuen Long ,"Block 3, Grand Yoho",22/2/2020,75,1
Eastern,"Block B, Healthy Gardens",22/2/2020,86,1
Eastern,"Chin Hing House, Hing Wah (II) Estate",22/2/2020,73,1
Kwun Tong,"Choi Tin House, Hing Tin Estate",22/2/2020,72,1
Eastern,Chun Yeung Street Market  (non-residential),22/2/2020,86,1
Wan Chai,"Fly Dragon Terrace, 26-32 Tin Hau Temple Road",22/2/2020,70,1
Wan Chai ,Jolly Villa (non-residential) ,22/2/2020,85,1
Central and Western,JW Marriott Hotel (non-residential),22/2/2020," 85, 101, 104",3
Eastern,Ming Yuen Centre (non-residential),22/2/2020,83,1
Kwun Tong,Sceneway Plaza (non-residential),22/2/2020,82,1
Wan Chai,The Hong Kong Jockey Club Happy Valley Clubhouse (non-residential),22/2/2020," 85, 101, 104",3
Eastern,"Tower 1, Fleur Pavilia (non-residential)",22/2/2020," 85, 101, 104",3
Wan Chai,2 Village Road (Non residential building),23/2/2020,76,1
Islands,23-27 Sok Kwu Wan First Street (non-residential),23/2/2020,85,1
Sai Kung,Bauhinia Garden (non-residential),23/2/2020,92,1
Eastern,Majestic Apartments,23/2/2020,77,1
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street",23/2/2020," 86, 92, 93, 98, 102",5
Southern,"Phase 1, The Redhill Peninsula",23/2/2020,76,1
Wan Chai,Royal Hong Kong Yacht Club (non-residential),23/2/2020,85,1
Wan Chai,The Hong Kong Jockey Club Happy Valley Clubhouse (non-residential),23/2/2020," 85, 101, 104",3
Wan Chai,"Block 4, Swiss Towers",24/2/2020,85,1
Kwun Tong,"Choi Tin House, Hing Tin Estate",24/2/2020," 72, 82",2
Central and Western,Crawford House (Non residential building),24/2/2020," 85, 90",2
Eastern,"Hong Fook Court, Bedford Gardens",24/2/2020," 83, 84",2
Southern,"Phase 1, The Redhill Peninsula",24/2/2020," 76, 91",2
Wan Chai,25-29 Great George Street (non-residential),25/2/2020,105,1
Central and Western,29 Queen's Road Central (non-residential),25/2/2020,105,1
Wan Chai,"Block 4, Swiss Towers",25/2/2020," 85, 90",2
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),25/2/2020," 76, 85, 91",3
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street",25/2/2020,89,1
Southern,"Phase 1, The Redhill Peninsula",25/2/2020," 76, 91, 103",3
Kwun Tong ,11 Mut Wah Street (non-residential),26/2/2020,98,1
Eastern,Anne Black General Out-patient Clinic (non-residential),26/2/2020,93,1
Sai Kung,"Block 4, Bauhinia Garden",26/2/2020,92,1
Wan Chai,"Block 4, Swiss Towers",26/2/2020," 85, 90, 113",3
Eastern,"Hong Fook Court, Bedford Gardens",26/2/2020," 83, 84, 112",3
Wan Chai,Jolly Villa,26/2/2020," 101, 104",2
Central and Western,Smithfield Municipal Services Building (non-residential),26/2/2020,105,1
Central and Western,"South China Building, 1 Wyndham Street (non-residential)",26/2/2020, notified by the health authority of Canada,1
Central and Western,10 Des Voeux Road Central (non-residential),27/2/2020,105,1
Sai Kung,"Block 4, Bauhinia Garden",27/2/2020,"92, 95",2
Eastern,Hung Fuk Building,27/2/2020,93,1
Southern,"Block 28, Baguio Villa ",29/2/2020, notified by the health authority of Canada,1
Southern,"Block 28, Baguio Villa (non-residential)",29/2/2020, 105 related contact tracing,1
Central and Western,"Block F, Greenview Gardens (non-residential)",29/2/2020, notified by the health authority of Thailand,1
Kwun Tong ,Hong Shui Court,29/2/2020,98,1
Southern,Meng Wah Complex (non-residential),29/2/2020,107,1
Sham Shui Po,"Un Lok House, Un Chau Estate",29/2/2020," 99, 100",2
Kowloon City,5 Kent Road (non-residential),1/3/2020," 105, 108",2
Kwai Tsing ,Metroplaza  (non-residential),1/3/2020," 130, 131",2
Yau Tsim Mong,Sheraton Hong Kong Hotel & Towers  (non-residential),1/3/2020," 105, 108",2
Yau Tsim Mong,Bank of China Centre (non-residential) ,2/3/2020,105,1
Yau Tsim Mong,Sincere Podium  (non-residential),2/3/2020," 130, 131",2
Wan Chai,Tung Fong Building (non-residential),2/3/2020,105,1
Central and Western,Tung Wah Hospital (non-residential),2/3/2020,105,1
Central and Western,United Centre (non-residential),2/3/2020,105,1
Central and Western,Wellington Place (non-residential),2/3/2020,105,1
Central and Western,"South China Building, 1 Wyndham Street (non-residential)",3/3/2020, notified by the health authority of Canada and  117,1
Central and Western,Wellington Place (non-residential),3/3/2020,108,1
Islands,101-103 San Hing Street (non-residential),4/3/2020,107,1
Islands,111D Tai Sun Back Street (non-residential),4/3/2020,107,1
Wan Chai ,"Block C, Villa Lotto",4/3/2020,105,1
Islands,"Lot No. 1116, Praya South, Cheung Chau (non-residential)",4/3/2020,107,1
Wan Chai,Tang Shiu Kin Hospital (non-residential),4/3/2020,105,1
Southern,Aberdeen Municipal Services Building (non-residential),5/3/2020,118,1
Southern,"Block 31, Baguio Villa",5/3/2020,111,1
Central and Western,"Block A, Po Shan Mansion",5/3/2020," 106, 116",2
Wan Chai ,"Block C, Villa Lotto",5/3/2020,108,1
Central and Western,Canossa Hospital (non-residential),5/3/2020,106,1
Central and Western,Hong Kong Industrial Building (non-residential),5/3/2020,116,1
Central and Western,Hong Kong Museum of Medical Sciences (non-residential),5/3/2020,110,1
Southern,Queen Mary Hospital (non-residential),5/3/2020,118,1
Southern,"Scenic Villa, Scenic Villa Drive",5/3/2020,107,1
Central and Western,341 Des Voeux Road West,6/3/2020,116,1
Southern,550 Victoria Road (non-residential),6/3/2020,118,1
Wan Chai,"Block 1, Swiss Towers",6/3/2020,110,1
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),6/3/2020," 76, 85, 91, 110",4
Wan Chai,Lee Garden One (non-residential),6/3/2020," 114, 154",2
Central & Western,73 Wyndham Street  (non-residential),7/3/2020," 182, 192",2
Tsuen Wan,Bellagio Mall (non-residential),7/3/2020," 123, 129",2
Wan Chai,Envoy Garden,7/3/2020,114,1
Tai Po,Tai Po Centre (non-residential),7/3/2020,124,1
Tai Po,Tai Po Mega Mall (non-residential),7/3/2020,124,1
Yuen Long,"Tower 1, La Grove",7/3/2020,115,1
Yau Tsim Mon,182 Reclamation Street (non-residential),8/3/2020,125,1
Wan Chai,48 Percival Street (non-residential),8/3/2020,134,1
Wan Chai,Envoy Garden,8/3/2020," 114, 213",2
Yau Tsim Mong,Mongkok Metro (non-residential),8/3/2020,125,1
Sha Tin ,Po Fook Memorial Hall (non-residential),8/3/2020,125,1
Tuen Mun,"Shopping Centre, Melody Garden (non-residential)",8/3/2020," 120, 121",2
Yau Tsim Mong,Sunbeam Commercial Building (non-residential),8/3/2020,125,1
Tsuen Wan,Tower 1 Vision City,8/3/2020,220,1
Tsuen Wan, 61 Sham Tseng Village (non-residential),9/3/2020,123,1
Yau Tsim Mong,14 Granville Road (non-residential),9/3/2020," 174, 222",2
Tsuen Wan,61 Sham Tseng Village (non-residential),9/3/2020,123,1
Eastern,625 King's Road (non-residential),9/3/2020,134,1
Southern,"Block 28, Baguio Villa",9/3/2020," notified by the health authority of Canada and  117, 118",2
Wan Chai,Central Plaza (non-residential),9/3/2020,192,1
Tsuen Wan,Chan Kee Commercial Centre (non-residential),9/3/2020,123,1
Yau Tsim Mong,CMB Wing Lung Bank Centre (non-residential),9/3/2020,125,1
Kwun Tong,Domain (non-residential),9/3/2020,"67,125",1
Tai Po,Fu Heng Shopping Centre (non-residential),9/3/2020,119,1
Yau Tsim Mong,Good Hope Building (non-residential),9/3/2020,125,1
Kwun Tong ,Kwun Tong Plaza  (non-residential),9/3/2020,125,1
Kwun Tong,Laguna Plaza (non-residential),9/3/2020," 126, 127",2
Tuen Mun,Richland Garden Shopping Arcade (non-residential),9/3/2020," 120, 121",2
Kwun Tong ,Sing Win Factory Building (non-residential),9/3/2020,125,1
Islands,1-2 Kin Sun Lane (non-residential),10/3/2020,123,1
Southern,41 Heung Yip Road (non-residential),10/3/2020,163,1
Kwun Tong,"Block 26, Phase 2, Laguna City",10/3/2020,"126,127",1
Kwun Tong,"Block T, Telford Gardens",10/3/2020,125,1
Southern,Canadian International School (non-residential),10/3/2020,182,1
Islands,Cheung Chau Municipal Services Building (non-residential),10/3/2020,123,1
Tai Po,Fu Heng Shopping Centre (non-residential),10/3/2020," 119, 124",2
Tai Po,"Heng Tai House, Fu Heng Estate",10/3/2020," 119, 124",2
Kwai Tsing,iPlace,10/3/2020,130,1
Yuen Long,Kingswood Richly Plaza (non-residential),10/3/2020,125,1
Sha Tin,"Mau Lam House, Kwong Lam Court",10/3/2020,122,1
Tuen Mun,"On Hei House, Siu Hei Court",10/3/2020," 120, 121",2
Southern,One Island South (non-residential),10/3/2020,163,1
Wan Chai,Times Square (non-residential),10/3/2020,183,1
Tsuen Wan,"Tower 7, Bellagio",10/3/2020," 123, 129",2
Kwai Tsing,Tsing Yi Square (non-residential),10/3/2020,142,1
Sai Kung,Yee Ching House Yee Ming Estate,10/3/2020,"58,128",1
Wan Chai,5 Perkins Road (non-residential),11/3/2020,137,1
Yau Tsim Mong,Argyle Centre Phase (non-residential),11/3/2020,142,1
Wan Chai,"Block 2, Cavendish Heights, 33 Perkins Road (non-residential)",11/3/2020,137,1
Sham Shui Po,Festival Walk (non-residential),11/3/2020,183,1
Tai Po,Fu Heng Shopping Centre (non-residential),11/3/2020," 119, 124, 140",3
Wan Chai,Hong Kong Adventist Hospital Stubbs Road  (non-residential),11/3/2020," 147, 148",2
Kwai Tsing,iPlace,11/3/2020," 130, 131",2
Central and Western,"Meng Wah Complex, University of Hong Kong (non-residential)",11/3/2020,132,1
Kwai Tsing ,Florentia Village (non-residential),12/3/2020,163,1
Yuen Long,Fung Hing Lau (non-residential),12/3/2020,394,1
Yau Tsim Mong,Grand Centre (non-residential),12/3/2020," 142, 195",2
Wan Chai,Hopewell Centre (non-residential),12/3/2020,168,1
Kwai Tsing,iPlace,12/3/2020, 133 and 138,1
Wong Tai Sin,Mikiki (non-residential),12/3/2020,155,1
Central and Western,"Serene Court, 35 Sai Ning Street ",12/3/2020,132,1
Tuen Mun,Siu Lun Shopping Centre (non-residential),12/3/2020,161,1
Wan Chai,12 St. Francis Street (non-residential),13/3/2020,183,1
Sai Kung,13 Sha Tsui Path (non-residential),13/3/2020,182,1
Central and Western,15 Queen's Road Central (non-residential),13/3/2020,211,1
Southern,18 Stanley Main Street,13/3/2020,136,1
Wan Chai,200 Queen's Road East (non-residential),13/3/2020,211,1
Central and Western,2-4 Shelley Street (non-residential),13/3/2020," 191, 217, 250, 332",4
Central and Western,44 D'Aguilar Street (non-residential),13/3/2020," 191, 217, 250, 332",4
Central and Western,45 Pottinger Street (non-residential),13/3/2020," 217, 275, 278, 284, 332",5
Central and Western,63 Wyndham Street (non-residential),13/3/2020," 191, 217, 373",3
Sai Kung ,684 Clear Water Bay Road ,13/3/2020,141,1
Kwai Tsing,"Block 2, Kwai Fong Terrace (non-residential)",13/3/2020,337,1
Wan Chai,"Block A, Tai Hang Terrace, 5 Chun Fai Road",13/3/2020,137,1
Kowloon City,Celestial Place (non-residential),13/3/2020,155,1
Eastern,Cornell Centre,13/3/2020,139,1
Kwai Tsing ,Greenfield Shopping Arcade (non-residential),13/3/2020,142,1
Central & Western,H code (non-residential),13/3/2020," 275, 278, 284",3
Tai Po,"Heng Tai House, Fu Heng Estate",13/3/2020," 119, 124, 140",3
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),13/3/2020," 76, 85, 91, 110, 139, 147, 148",7
Wan Chai,Hopewell Centre (non-residential),13/3/2020," 101, 156, 168",3
Wan Chai,Immigration Tower (non-residential),13/3/2020,211,1
Sham Shui Po,"Kimberland Center, 55 Wing Hong Street (non-residential)",13/3/2020,153,1
Yau Tsim Mong,Kowloon Mosque And Islamic Centre (non-residential),13/3/2020,151,1
Central & Western,Kwong Ga Factory Building (non-residential),13/3/2020,146,1
Yau Tsim Mong,"MTR Kowloon Station, Airport Express Line Arrival Concourse (non-residential)",13/3/2020,162,1
Tai Po,"Ng Tung Chai, Lam Tsuen",13/3/2020,134,1
Central & Western,Pacific Place (non-residential),13/3/2020,182,1
Yau Tsim Mong,Pioneer Centre (non-residential),13/3/2020,371,1
Sai Kung,Razor Hill Dairy Farm Shopping Centre (non-residential),13/3/2020,239,1
Wan Chai,Starcrest (non-residential),13/3/2020,182,1
Kwai Tsing,Tivoli Garden,13/3/2020,142,1
Central and Western,View Villa,13/3/2020,135,1
Tuen Mun,1 Lam Tei Main Street (non-residential),14/3/2020,170,1
Sai Kung ,10A-C Po Tung Rd (non-residential),14/3/2020,182,1
Central & Western,20A D'Aguilar Street (non-residential),14/3/2020,217,1
Yau Tsim Mong,23 Lock Road (non-residential),14/3/2020,250,1
Wan Chai,258 Queen's Road East (non-residential),14/3/2020,345,1
Central & Western,37-44 Cochrane Street (non-residential),14/3/2020,217,1
Yau Tsim Mong,3F Portland Street (non-residential),14/3/2020,273,1
Central & Western,44 D'Aguilar Street (non-residential),14/3/2020,217,1
Central & Western,83 Catchick Street (non-residential),14/3/2020,318,1
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/3/2020," 191, 233, 237, 253, 258, 259, 287, 295, 332, 373",10
Central & Western,Bank of China Building (non-residential),14/3/2020,183,1
Eastern,"Fort Mansion, 25-27 Fort Street",14/3/2020,146,1
Wan Chai,Golden Hill Mansion (non-residential),14/3/2020,345,1
Yau Tsim Mong,Harbour Crystal Centre (non-residential),14/3/2020," 233, 253, 295",3
Yau Tsim Mong,Harilela Mansion (non-residential),14/3/2020,250,1
Kowloon City,In House (non-residential),14/3/2020,154,1
Tuen Mun,Kam Men Mansion (non-residential),14/3/2020,170,1
Southern,"Kellett View Town Houses, 65 Mount Kellett Road",14/3/2020," 147, 148",2
Kwai Tsing,Kwai Chung Plaza (non-residential),14/3/2020,337,1
North,"Lai Ming House, Wah Ming Estate",14/3/2020,143,1
Sai Kung,"Pak Sha Wan, Sai Kung",14/3/2020,145,1
Southern,"Ping On House, 2 Chengtu Road (non-residential)",14/3/2020,149,1
Wan Chai,Pinnacle Building (non-residential),14/3/2020," 169, 208",2
Tsuen Wan,Royal View Hotel (non-residential),14/3/2020,170,1
Central & Western,Scenic Rise (non-residential),14/3/2020," 169, 208, 315, 222",4
Wan Chai,South China Athletic Association (non-residential),14/3/2020,318,1
Central & Western,Standard Chartered Bank Building (non-residential),14/3/2020,194,1
Wong Tai Sin,Tai Shing Street Market (non-residential),14/3/2020,484,1
Central & Western,The Grand Stage (non-residential),14/3/2020,170,1
Wan Chai,The Harbourview (non-residential),14/3/2020,144,1
Sai Kung,The Palisades,14/3/2020,145,1
Tuen Mun,The Sherwood (non-residential),14/3/2020,170,1
Southern,Union Industrial Building (non-residential),14/3/2020," 169, 208, 277, 315",4
Kwun Tong,Wing Ngai Mansion (non-residential),14/3/2020,450,1
Yau Tsim Mong,Wing On Plaza (non-residential),14/3/2020,"191, 373",2
Central & Western,100 Third Street (non-residential),15/3/2020,"566, 618",2
Wan Chai,14 Tai Wong Street East (non-residential),15/3/2020,169,1
Tuen Mun,2 Hoi Chu Road  (non-residential),15/3/2020,152,1
Sham Shui Po,225 Ki Lung Street (non-residential),15/3/2020,191,1
Sham Shui Po,323 Lai Chi Kok Rd (non-residential),15/3/2020,191,1
Central and Western,46 Wyndham Street (non-residential),15/3/2020,217,1
Central and Western,5 Lan Kwai Fong (non-residential),15/3/2020,217,1
Central and Western,60 Wyndham Street (non-residential),15/3/2020,217,1
Kowloon City,8 Hok Ling Street,15/3/2020,154,1
Wan Chai,9 Star Street (non-residential),15/3/2020,195,1
Shatin,"Block 10, Pristine Villa",15/3/2020,153,1
Yau Tsim Mong,"Block A, Chungking Mansions",15/3/2020,151,1
Central & Western,California Tower (non-residential),15/3/2020,227,1
Eastern ,Cheerful Garden (non-residential),15/3/2020,170,1
Shatin,Courtyard by Marriott Hong Kong Sha Tin (non-residential),15/3/2020,171,1
Wan Chai,Dorsett Wanchai Hong Kong (non-residential),15/3/2020,422,1
Eastern,Eastern Centre (non-residential),15/3/2020,367,1
Central & Western,Hong Kong Plaza (non-residential),15/3/2020,250,1
Yau Tsim Mong,Hotel ICON,15/3/2020,150,1
Central and Western,ICBC Tower (non-residential),15/3/2020,195,1
Wan Chai,Island Shangri-La,15/3/2020,156,1
Shatin,Jubilee Square (non-residential),15/3/2020,172,1
Central & Western,JW Marriott Hotel Hong Kong (non-residential),15/3/2020," 85, 101,104, 156",4
Yau Tsim Mong,Kam San Building 78-86 Reclamation Street (non-residential),15/3/2020,159,1
North,"Lai Ming House, Wah Ming Estate (non-residential)",15/3/2020,155,1
Yau Tsim Mong,Langham Hotel Hong Kong (non-residential),15/3/2020,195,1
Wong Tai Sin,"Lung Chu House, Lung Poon Court",15/3/2020,155,1
Tsuen Wan,Metroplaza Tower 2 (non-residential),15/3/2020,511,1
Yau Tsim Mong,Omega Plaza (non-residential),15/3/2020,450,1
Central and Western,Printing House (non-residential),15/3/2020,194,1
Wan Chai,Sun Fung Mansion (non-residential),15/3/2020,195,1
Yau Tsim Mong,The Imperial Hotel (non-residential),15/3/2020, notified by the Health Commission of Guangdong Province,1
Tuen Mun,"Tower 1, Oceania Heights",15/3/2020,152,1
Tuen Mun,Tuen Mun Trend Plaza (non-residential),15/3/2020,161,1
Southern,Union Industrial Building (non-residential),15/3/2020," 169, 208, 277, 315, 375",5
Southern,"Wah Cheong House, Wah Fu 2 Estate",15/3/2020,149,1
Yau Tsim Mong,Yau Ma Tei Jockey Club General Out-patient Clinic (non-residential),15/3/2020,150,1
Central and Western, Wing Tuck Commercial Centre (non-residential),16/3/2020,208,1
Eastern,1063 King's Road (non-residential),16/3/2020,483,1
Yau Tsim Mong,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential)",16/3/2020," 174, 222, 243, 285, 286",5
Yau Tsim Mong,19 Lai Chi Kok Road (non-residential),16/3/2020,428,1
Central & Western,21 Gough Street (non-residential),16/3/2020,195,1
Kowloon City ,8 Hok Ling Street,16/3/2020,228,1
Wan Chai,82 Jaffe Road (non-residential),16/3/2020,"276, 363, 367, 386",4
Central & Western,Admiralty Centre Tower 1 (non-residential),16/3/2020,161,1
Eastern,AIA Tower (non-residential),16/3/2020,250,1
Yau Tsim Mong,Belgian Bank Building (non-residential),16/3/2020,371,1
Tai Po,"Block 16, Mayfair By The Sea",16/3/2020," 157, 158",2
Tuen Mun,"Block 4, Tuen Mun Town Plaza",16/3/2020,161,1
Central & Western,California Tower (non-residential),16/3/2020," 195, 199",2
Shatin,CCT Telecom Building  (non-residential),16/3/2020,191,1
Central & Western,Century Square (non-residential),16/3/2020," 184, 195",2
Kwun Tong,Draco Industrial Building (non-residential),16/3/2020,262,1
Central & Western,"Emerald Garden, 86 Pok Fu Lam Road",16/3/2020,163,1
Central & Western,Hang Fai Building (non-residential),16/3/2020,261,1
Yau Tsim Mong,"Harvest Moon House, 337 - 339 Nathan Road (non-residential)",16/3/2020,159,1
Eastern,Hing Tung Shopping Centre (non-residential),16/3/2020,304,1
Tuen Mun,Hong Kong Gold Coast Hotel (non-residential),16/3/2020,253,1
Central & Western,Kinwick Centre (non-residential),16/3/2020,195,1
Yau Tsim Mong,Mount Kelly School Hong Kong (non-residential),16/3/2020,243,1
Yau Tsim Mong,Mount Kelly School Hong Kong (non-residential),16/3/2020,174,1
Central & Western,Nan Dao Commercial Building (non-residential),16/3/2020," 177, 178",2
Sham Shui Po,Peony House (non-residential),16/3/2020,428,1
Eastern,"Phase II, Healthy Village (non-residential)",16/3/2020,250,1
Central & Western,Silver Jubilee Mansion (non-residential),16/3/2020," 177, 178",2
Yau Tsim Mong,Sino Cheer Plaza (non-residential),16/3/2020,159,1
Central & Western,St. George's Building (non-residential),16/3/2020,227,1
Southern,Stanley Plaza (non-residential),16/3/2020,160,1
Yau Tsim Mong,Sun Ming Building (non-residential),16/3/2020,337,1
Central & Western,The Centrium (non-residential),16/3/2020,195,1
Central & Western,The Centrium (non-residential),16/3/2020,318,1
Shatin,The Palazzo Shopping Centre (non-residential),16/3/2020,172,1
Southern,The Redhill Peninsula,16/3/2020,160,1
Central and Western,Wah Ming Centre (non-residential),16/3/2020,251,1
Central & Western,Wilson House (non-residential),16/3/2020,248,1
Wan Chai,Win Fung Building (non-residential),16/3/2020," 169, 208",2
Tsuen Wan,Wing Fung Industrial Building (non-residential),16/3/2020,263,1
Central & Western,Wing Tuck Commercial Centre (non-residential),16/3/2020,208,1
Kwun Tong , Lam Tin South Sports Centre  (non-residential),17/3/2020,200,1
Sai Kung, Park Central (non-residential),17/3/2020,205,1
Central and Western,33 Des Voeux Rd West (non-residential),17/3/2020,208,1
Central & Western,3A Tregunter Path,17/3/2020,180,1
Wan Chai,76-84 Jaffe Road (non-residential),17/3/2020," 276, 343, 362, 367, 386, 387, 389, 413, 434",9
Tsuen Wan,8 Chung On Street (non-residential),17/3/2020,253,1
Eastern,"Block 1, Island Resort",17/3/2020,186,1
Kwai Tsing,"Block 1, Kwai Tak Industrial Centre (non-residential)",17/3/2020," 229,  337,  338",3
Eastern,"Block 2, Island Resort",17/3/2020,170,1
Southern,"Block 47, Baguio Villa",17/3/2020,184,1
Shatin,"Block 8, Saddle Ridge Garden ",17/3/2020,171,1
Central & Western,California Tower (non-residential),17/3/2020,584,1
Tsuen Wan,Carson Mansion (non-residential),17/3/2020,229,1
Kwun Tong,C-BONS International Tower (non-residential),17/3/2020,233,1
Shatin,CCT Telecom Building (non-residential),17/3/2020," 191, 217",2
Central & Western,Cheung Kong Center (non-residential),17/3/2020,524,1
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",17/3/2020,167,1
Islands,City Gate Outlets (non-residential),17/3/2020,371,1
Kowloon City,Hang Tak Yuen,17/3/2020,195,1
Shatin,Hilton Plaza (non-residential),17/3/2020,172,1
Central & Western,Ho Lee Commercial Building (non-residential),17/3/2020," 276, 343, 360, 362, 367, 384, 386",7
Kowloon City,Hong Kong Baptist Hospital (non-residential),17/3/2020," 195, 243",2
Sha Tin,Hong Kong Sports Institute (non-residential),17/3/2020,529,1
Shatin,Hong Kong Sports Institute Athletes' Hostel,17/3/2020,172,1
Eastern,Hyatt Centric Victoria Harbour Hong Kong,17/3/2020,169,1
Wan Chai,Hysan Place (non-residential),17/3/2020,437,1
Wan Chai,"King Cheung Mansion, 5 King Kwong Street",17/3/2020,185,1
Kwun Tong,Lam Tin South Sports Centre (non-residential),17/3/2020,200,1
Central & Western,M88 Wellington Place (non-residential),17/3/2020,437,1
Kwai Tsing,Maritime Square (non-residential),17/3/2020,428,1
Sha Tin,New Town Plaza (non-residential),17/3/2020,483,1
Wong Tai Sin,"Oi Wai House, Tsz Oi Court",17/3/2020,173,1
Sai Kung,Park Central Shopping Centre (non-residential),17/3/2020,205,1
Central and Western,Prince’s Building (non-residential),17/3/2020,206,1
Central & Western,"Rich View Terrace, 26 Square Street",17/3/2020, 177 and 178,1
Eastern,Sai Wan Ho Market (non-residential),17/3/2020,237,1
Wan Chai ,Sakura Court ,17/3/2020,181,1
Central & Western,"Seymour Place, 60 Robinson Road",17/3/2020,183,1
Tuen Mun,"Shopping Centre, Melody Garden (non-residential)",17/3/2020," 120 , 121, 244",3
Central & Western,The L. Place (non-residential),17/3/2020,422,1
Central & Western,The Pottinger Hong Kong (non-residential),17/3/2020,586,1
Wan Chai,The Urban Edition (non-residential),17/3/2020,236,1
Wan Chai,"Tower 2, the Zenith",17/3/2020,168,1
Yau Tsim Mong,"Tower 3, Hampton Place",17/3/2020,174,1
Southern,"Tower 3, The Repulse Bay",17/3/2020,226,1
Yau Tsim Mong,"Tower 7, the Coronation",17/3/2020,162,1
Central & Western,Tsun Wing Lane (non-residential),17/3/2020,686,1
Wan Chai,Vocational Training Council (non-residential),17/3/2020,237,1
Kwun Tong,"Ying Lai House, Yau Lai Estate",17/3/2020, 175 and 176,1
Central & Western,Yip Fung Building (non-residential),17/3/2020,312,1
Central and Western, Gloucester Tower (non-residential),18/3/2020,206,1
Central & Western,1 High Street,18/3/2020,217,1
Central & Western,120 Connaught Road West (non-residential),18/3/2020,281,1
Central & Western,18 Gilman's Bazaar (non-residential),18/3/2020,373,1
Central & Western,20 Square Street,18/3/2020,208,1
Kowloon City,26 Cumberland Road,18/3/2020,199,1
Yau Tsim Mong,26 Kimberley Road,18/3/2020,199,1
Sai Kung ,39D Tai Mong Tsai Road ,18/3/2020,182,1
Southern,46 Island Road,18/3/2020,206,1
Tai Hang,70 Tin Hau Temple Road,18/3/2020,218,1
Wan Chai,8 Hysan Avenue (non-residential),18/3/2020,437,1
Sham Shui Po,83 Hing Wah Street West (non-residential),18/3/2020,314,1
Shatin,89 Chik Fu Street (non-residential),18/3/2020,253,1
Sham Shui Po,95 Hing Wah Street West (non-residential),18/3/2020,314,1
Central & Western,Bank of China building (non-residential),18/3/2020," 106, 183, 204",3
Southern,"Block 4, Repulse Bay Garden",18/3/2020,203,1
Tsuen Wan,"Block 5, The Summit Terrace",18/3/2020,219,1
